,Age dependency ratio (% of working-age population),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)",Arms imports (SIPRI trend indicator values),Broad money (% of GDP),Broad money to total reserves ratio,Changes in inventories (current US$),"Claims on central government, etc. (% GDP)",Consumer price index (2010 = 100),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Exports of goods and services (% of GDP),Exports of goods and services (current US$),External balance on goods and services (% of GDP),External balance on goods and services (current US$),Final consumption expenditure (% of GDP),Final consumption expenditure (current US$),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),GDP (current US$),GDP deflator (base year varies by country),GDP per capita (current US$),General government final consumption expenditure (% of GDP),General government final consumption expenditure (current US$),GNI (current US$),Gross capital formation (% of GDP),Gross capital formation (current US$),Gross domestic savings (% of GDP),Gross domestic savings (current US$),Gross fixed capital formation (% of GDP),Gross fixed capital formation (current US$),Gross national expenditure (% of GDP),Gross national expenditure (current US$),Gross national expenditure deflator (base year varies by country),Gross value added at basic prices (GVA) (current US$),Households and NPISHs final consumption expenditure (% of GDP),Households and NPISHs Final consumption expenditure (current US$),Imports of goods and services (% of GDP),Imports of goods and services (current US$),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (current US$)","Inflation, consumer prices (annual %)","Manufacturing, value added (% of GDP)","Manufacturing, value added (current US$)",Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Military expenditure (current USD),Monetary Sector credit to private sector (% GDP),Net primary income (Net income from abroad) (current US$),"Population ages 0-14, total",Population ages 15-64 (% of total population),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Rural population,Rural population (% of total population),"Services, value added (% of GDP)",Taxes less subsidies on products (current US$),"Total reserves (includes gold, current US$)",Total reserves minus gold (current US$),Trade (% of GDP),Urban population,Urban population (% of total population)
1960 [YR1960],76.9990446166511,41.3128390639122,15298096331.0212,544000000.0,22.0719249368892,12.1167743877611,457155875.215876,15.0000620395868,2.52748668877309,7.84313262788227,7.84313262788227,4.4631564556351,1652701652.70165,-2.37052020134113,-877800877.800878,93.9574148135212,34792321597.8286,332399.0,0.073776654,37029883875.4573,2.3924310174908,82.1886027387829,6.57349198912493,2434156450.13545,36878683724.2571,15.6904659533278,5810161322.03543,6.04258518647878,2237562277.62868,14.4559066531867,5353005446.81955,109.647880766849,40602482919.864,2.562205550268,34994675141.8283,87.383922824402,32358165147.6953,6.83367665697623,2530502530.50253,20.8343434548784,7714933187.55539,1.77987784677381,14.7501180854536,5461951598.5363,1332000000.0,2303000000.0,9.81639589318078,2.00401234567901,681765681.765682,7.84313262788227,-151200151.200151,182270641.0,56.4974800369574,218042936.0,48.3950862691723,232504739.0,51.6049137308277,450547675.0,369791510.0,82.076,38.7824617553695,2035208733.62907,674536630.92578,423000000.0,11.2968331126113,80756165.0,17.924
1961 [YR1961],78.0071064405409,40.3874016121362,15844961402.3457,1122000000.0,21.5018727925336,12.6594411626574,-380935670.561398,14.725330359039,2.57033297015633,8.51617615457329,8.51617615457329,4.30358618999178,1688401688.40169,-1.65399021481027,-648900648.900649,93.1396905155186,36540969271.0053,332399.0,0.0737767,39232435784.0946,2.443758894039,85.354300989206,6.89466573131748,2704945305.56711,39026635578.2944,14.7849859961232,5800510136.61641,6.86030948448139,2691466513.08931,15.7559572421039,6181445807.17781,107.924676511642,42341479407.6217,2.62978848120326,36928627622.7871,86.2450247842011,33836023965.4382,5.95757640480206,2337302337.30234,21.4348439739451,8409411397.4989,1.69521293914439,15.3538364831491,6023684038.64634,1386000000.0,2286000000.0,9.35960239687357,2.07435972060536,748388248.388248,8.51617615457329,-205800205.800206,187176691.0,56.1775323636812,222328744.0,48.3699626461163,237313422.0,51.6300373538837,459642166.0,376759491.0,81.968,38.3258751961145,2303808161.30746,666357094.860707,418000000.0,10.2611625947938,82882675.0,18.032
1962 [YR1962],79.1875305726612,38.3713352032108,16177923530.6432,371000000.0,21.9307027141433,18.0313110561575,196594690.568118,15.1866256133143,2.66369298910469,8.98048080708615,8.98048080708615,4.16897528315647,1757701757.70176,-1.86283961278437,-785400785.400785,92.3004316277917,38915229736.2544,332399.0,0.0737767,42161481858.7014,2.5514215447052,89.8817564947458,7.77958198925193,3279987049.08125,41934681631.9011,16.4326786874169,6928260843.69397,7.69956837220835,3246252122.44693,15.9663888847317,6731666153.12585,108.733110315209,45843490579.9484,2.73121108602965,39486583751.222,84.5208496385397,35635242687.1732,6.03181489594084,2543102543.10254,22.0526001362401,9297703005.81281,3.63221497106985,15.8632981306508,6688201563.54606,1403000000.0,2362000000.0,8.92995178067484,2.74540043290043,1065436065.43607,8.98048080708615,-226800226.800227,192519783.0,55.8074546323602,226780736.0,48.346144376907,242296455.0,51.653855623093,469077191.0,383620708.0,81.782,39.9358449714871,2674898107.47939,512791844.004694,265000000.0,10.2007901790973,85456483.0,18.218
1963 [YR1963],80.3047250510323,39.3197513062973,19039379881.7027,647000000.0,21.1162826557738,16.8210906559067,-307615375.942609,14.6413165425944,2.74216968261487,9.10745401050008,9.10745401050008,4.28050338493504,2072702072.70207,-1.62633107330359,-787500787.500787,90.4097152762689,43778123130.3408,332399.0,0.0737767,48421923458.7413,2.76455770428417,101.126429448401,8.70504098592505,4215148283.25668,48186723223.541,15.7091340192112,7606664850.81352,9.59028472373108,4643800328.40042,16.3444152182423,7914280226.75613,106.11884929548,51384787981.1544,2.90076357982073,45127852020.1187,81.7046742903439,39562974847.0842,5.90683445823862,2860202860.20286,21.8794758335698,10594463041.3049,2.94616135685229,15.7523883535444,7627609431.47693,1626000000.0,2477000000.0,8.47343456625806,4.02530602636535,1795449295.4493,9.10745401050008,-235200235.200235,197983195.0,55.4616636126111,231387194.0,48.3238976849864,247438408.0,51.6761023150136,478825602.0,390697750.0,81.595,38.0951802997203,3294071438.62269,607862500.361696,360000000.0,10.1873378431737,88127852.0,18.405
1964 [YR1964],80.9989516979179,41.1877383326384,23262954030.3429,920000000.0,19.8063983000643,22.4117408118783,-217154043.406115,13.4484217479506,3.10839360492657,8.53679190856911,8.53679190856911,3.7255511726421,2104202104.2021,-1.95944657483272,-1106701106.70111,90.5055651618194,51117805615.9789,332399.0,0.0737767,56480289940.8261,3.00097374868892,115.537496074678,8.04252293329503,4542440271.28247,56175789636.3258,15.9018105110553,8981388682.48481,9.49443483818063,5362484324.84723,16.2862880759432,9198542725.89093,106.407375672875,60099194298.4637,3.18322399915135,52721425818.429,82.463042228528,46575365344.6985,5.68499774747481,3210903210.90321,20.9552885443752,11835607727.7998,13.3552611508153,14.8507399617165,8387740988.73559,1705000000.0,2876000000.0,8.11079405718255,3.81923698021801,1986654486.65449,8.53679190856911,-304500304.500305,203051192.0,55.2489388140961,236130821.0,48.3035123101901,252717318.0,51.6964876898099,488848139.0,397946828.0,81.405,36.3408214586818,3758864122.39717,499145125.789702,251000000.0,9.41054892011691,90901311.0,18.595
1965 [YR1965],81.1221770746329,38.9521434757491,23197892400.7476,1049000000.0,20.8286159029793,20.6448092116437,434969287.009878,14.0937832680224,3.40290639507343,9.27009162162394,9.27009162162394,3.30747278093695,1969760604.7879,-1.90408880778886,-1133977320.45359,91.3352464408018,54394573193.3494,623394.0,0.12489779,59554854574.7942,3.25006565559877,119.318916255491,8.7876822350368,5233491375.57119,59210461462.6564,17.8504850730371,10630830426.1426,8.66475355919815,5160281381.44477,17.1201175990244,10195861139.1327,109.185731513839,65025403619.492,3.35952382470596,55202516367.983,82.5475642057615,49161081817.7761,5.21156158872582,3103737925.2415,21.6551050741671,12896666334.9391,9.47475859170699,15.0109077673701,8939724291.21378,1687000000.0,2838000000.0,7.59803719160645,3.87141491395794,2125989625.98963,9.27009162162394,-344393112.137757,207482205.0,55.2113505318778,241002419.0,48.2851442679914,258120909.0,51.7148557320086,499123328.0,405363011.0,81.215,37.450738195486,4352338206.81124,600850886.234668,319000000.0,8.51903436966277,93760317.0,18.785
1966 [YR1966],81.5181791772064,40.0254476136132,18357856479.1243,994000000.0,20.4604626185769,15.391781315369,738011777.767103,13.7669728686421,3.77048318332544,9.51540771803201,9.51540771803201,4.14255065956876,1900000000.0,-2.52913619215777,-1160000000.0,93.4276928541508,42851042995.1786,623394.0,0.124898,45865462033.91,3.68137233172349,89.9973043737176,8.50679016813736,3901678614.87143,45536890605.3386,18.3412333939372,8412291438.8471,6.57230714584922,3014419038.73143,16.7321538272222,7674279661.08,111.768926248088,51263334434.0257,3.81855330540318,42744144682.4849,84.9209026860103,38949364380.3057,6.67168685172654,3060000000.0,21.3866171714769,9809070779.12143,10.8018483489341,14.5039929681143,6652323388.19143,1954000000.0,3440000000.0,11.7604832935336,3.57237064592492,1661154906.41015,9.51540771803201,-328571428.571429,212274848.0,55.0909007783075,245993503.0,48.2688959877479,263638006.0,51.7311040122521,509631509.0,412918738.0,81.023,36.4597966556015,3121317351.42513,609694584.532287,365000000.0,10.8142375112953,96712771.0,18.977
1967 [YR1967],81.3060850843081,42.7676217441188,21441522443.2027,1265000000.0,19.105769839719,14.4308292374184,-180733002.120873,12.4995988650723,4.26299133112269,9.11672870414209,9.11672870414209,4.0344449953861,2022666666.66667,-1.91217267744404,-958666666.666667,94.530992431309,47393058419.7813,623394.0,0.124898,50134942203.4467,3.9985669079868,96.3391364638065,8.12117179118524,4071544783.75333,49790942203.4467,15.7083103036915,7875352291.89379,5.46900756869095,2741883783.66533,16.0688033932965,8056085294.01467,110.239302735001,55268410711.6751,4.25760185274443,46883252372.6851,86.4098206401238,43321513636.028,5.94661767283014,2981333333.33333,20.0894428790617,10071830576.412,13.062202477797,13.2318612543142,6633785992.29067,1613000000.0,2773000000.0,8.74838946099049,3.22392372146778,1487733333.33333,9.11672870414209,-344000000.0,216312897.0,55.1553467150659,251117415.0,48.2546380804647,269283162.0,51.7453619195353,520400577.0,420634582.0,80.829,34.6095555070474,3251689830.76155,663764119.793592,419000000.0,9.98106266821623,99765995.0,19.171
1968 [YR1968],80.6845573173082,41.6335506393159,22101360152.0907,1655000000.0,19.7618471850265,14.3638354759159,-972346571.965052,12.2745484485542,4.40100194220749,9.8206434282478,9.8206434282478,4.0387710057858,2144000000.0,-0.904202463981895,-480000000.0,90.0432772755074,47799884222.732,623394.0,0.124898,53085455870.8227,4.09514763679149,99.8759627220214,8.39819236569158,4458218702.236,52745455870.8227,14.3769240887146,7632055692.69628,9.95672272449255,5285571648.09067,16.2085869349962,8604402264.66133,104.420201364222,55431939915.4283,4.18554744516972,49441023869.452,81.6450849098159,43341665520.496,4.94297346976769,2624000000.0,20.627115664208,10949998383.3467,3.23741242627506,13.5227880138301,7178633663.58667,1761000000.0,2570000000.0,8.1585434823033,3.24556858467412,1586866666.66667,9.8206434282478,-340000000.0,219862306.0,55.345072831069,256412988.0,48.242015841868,275100846.0,51.757984158132,531513834.0,428580865.0,80.634,35.0541313627609,3644432001.37061,730352744.867941,439000000.0,8.98174447555349,102932969.0,19.366
1969 [YR1969],79.9527457826968,41.3583433053687,24173122434.1733,1518000000.0,20.3748078325589,12.835877582026,-20979665.5493944,11.5857353156696,4.37529407863572,10.4001286355748,10.4001286355748,3.71384282051234,2170666666.66667,-0.317091002488461,-185333333.333333,88.7656422723749,51881738172.032,623394.0,0.124898,58447995016.8493,4.2320633425464,107.622318423333,8.54968500114692,4997119463.42667,58086661683.516,16.0878100876786,9403002438.3666,11.2343577276251,6566256844.81733,16.1237046731873,9423982103.916,104.853452360054,61284740610.3986,4.3911726706004,54371579972.2747,80.2159572712257,46884618708.604,4.0309338230008,2356000000.0,21.4174846346842,12518090352.0147,-0.584136610466317,14.1464715834884,8268329006.17733,1835000000.0,2212000000.0,6.92410406692879,3.14081455805893,1691433333.33333,10.4001286355748,-361333333.333333,223383970.0,55.5701440816367,261932710.0,48.2305774782864,281151623.0,51.7694225217136,543084333.0,436846176.0,80.438,34.305852609892,4076415044.57465,927764119.793592,683000000.0,7.74477664351313,106238157.0,19.562
1970 [YR1970],79.2694671127816,39.92780620156,24923928060.2093,872000000.0,21.3730683996469,13.0394336635503,697248221.969091,11.3980513406577,4.59809549976314,11.2365497015033,11.2365497015033,3.78282506203901,2361333333.33333,-0.096119213885802,-60000000.0,88.631912058513,55326240285.62,981356.0,0.176760455,62422483054.5173,4.29817847638446,112.434492477745,8.94724413435599,5585091953.61467,62043816387.8507,16.6531413945703,10395304365.0704,11.368087941487,7096242768.89733,15.5361588782545,9698056143.10134,105.285053453083,65721544650.6904,4.55948729490511,57838263436.0013,79.684667924157,49741148332.0053,3.87894427592481,2421333333.33333,21.7293092920945,13563974410.7213,5.09226161997547,14.4565450929702,9024134410.928,2026000000.0,2124000000.0,6.6482456271013,3.18518303985171,1832966666.66667,11.2365497015033,-378666666.666667,227147673.0,55.7819474461807,267712747.0,48.2200408664931,287477050.0,51.7799591335069,555189797.0,445484293.0,80.24,35.0468708636193,4584219618.51607,1023173271.49678,763320000.0,7.66176933796381,109705504.0,19.76
1971 [YR1971],79.0293327848886,38.0997785048326,25660577256.7808,1870000000.0,23.3705521595869,12.634468707291,686179218.645217,12.8658750389172,4.73971402179062,12.4934379259205,12.4934379259205,3.66720521708832,2469898946.46313,-0.335196124304047,-225757901.526553,89.9534069738453,60584508355.3497,981356.0,0.17676,67350988020.9041,4.52704964831047,118.603241475547,9.67379314373021,6515395261.40077,66959943084.3313,17.6045113708662,11856812344.5308,10.0465930261547,6766479665.55446,16.5857004538946,11170633125.8856,107.557918344711,72441320699.8804,4.80793830017996,62020937617.8159,80.2796138301151,54069113093.9489,4.00240134139237,2695656847.98968,22.392007907235,15081238563.2418,3.07993868406547,14.9822867426303,10090718149.2864,2036000000.0,2424000000.0,6.62202609205336,3.65245352356247,2255256982.83756,12.4934379259205,-391044936.57278,231635540.0,55.8567684648161,273769666.0,48.2100868293128,294098355.0,51.7899131706872,567868021.0,454345525.0,80.009,35.803649082949,5330050403.08817,1245821898.02245,942439552.948743,7.66960655848069,113522496.0,19.991
1972 [YR1972],78.7224437148975,38.0177222720281,27168678557.165,1807000000.0,24.4663184738144,12.7847283254415,-654945341.770297,13.7313364111224,5.04505101847466,12.9223576802102,12.9223576802102,4.02748926158673,2878172457.50653,0.318578925860344,227666675.290404,89.6071544368723,64036134461.1337,981356.0,0.17676,71463193830.4064,5.01776384426691,122.981864109903,9.33421495863531,6670528128.43634,71072538512.5786,16.1359539181538,11531268024.9153,10.3928455631277,7427059369.27277,17.0524331666528,12186213366.6856,105.743108355026,75567402486.049,5.22200951825381,65672870824.897,80.2729394782369,57365606332.6973,3.70891033572639,2650505782.21613,22.4080025883951,16013474323.2673,6.44209746158236,15.102549377514,10792764134.9856,2448000000.0,2223000000.0,6.53623179938617,3.7179474612821,2497244705.68716,12.9223576802102,-390655317.827853,236214691.0,55.9526817432045,280088829.0,48.2008212346698,300998426.0,51.7991787653302,581087255.0,463004514.0,79.679,35.5216549183548,5790323005.50937,1367601418.5857,916317572.716268,7.73639959731312,118082741.0,20.321
1973 [YR1973],78.3406308388556,41.1620452004123,35199833920.0471,1325000000.0,24.0207351425579,12.6073037828579,2694373885.27718,13.171659546874,5.89972382756987,13.093863834094,13.093863834094,4.20876319232271,3599135190.13099,-0.514569634114367,-440035609.818136,87.9139401197207,75179842896.6336,981356.0,0.17676,85515269585.522,5.91241686952376,143.778687613061,8.40736153328719,7189577880.22002,85101941339.3056,19.0580369291081,16297531657.6351,12.0860598802793,10335426688.8885,15.9072851413438,13603157772.3579,106.971977048829,91477374554.2687,6.11972476457652,79128776460.1381,79.506578586435,67990265016.4149,4.72333282643708,4039170799.94913,21.3482302907461,18255996684.8696,16.9408159791735,15.0152853126864,12840361714.1791,2917000000.0,3211000000.0,7.16597167932858,3.15864376713433,2529921054.3991,13.093863834094,-413328246.216457,240844888.0,56.0724718568334,286636581.0,48.1928334411195,308133555.0,51.8071665588805,594770136.0,471932260.0,79.347,32.9477056143664,6386493125.38399,1629325093.4044,848791785.255795,8.9320960187598,122837876.0,20.653
1974 [YR1974],77.8268564762813,38.1996932775489,38018588193.949,1285000000.0,22.8354560374525,9.77660703757668,2626765762.10869,12.5328915596059,7.58697015632402,12.9137997938418,12.9137997938418,4.83132100338351,4808415667.78675,-1.18924824698671,-1183610010.53212,90.2385354738532,89810713779.2605,981356.0,0.17676,99525899115.7756,6.89786988110941,163.478112500121,8.64064088352269,8599675528.69126,99161036284.1391,19.2437065951725,19152472012.0472,9.76146452614684,9715185336.51513,16.6044279898589,16525706249.9386,109.482242069026,108963185791.308,7.49673349742943,91825363863.7819,81.5978945903305,81211038250.5692,6.02056925037022,5992025678.31887,22.675693396367,22568187733.4708,28.598734077509,16.3459133782338,16268417258.373,3926000000.0,5136000000.0,9.10516768048328,3.20282632441289,2895415720.35154,12.9137997938418,-364862831.636491,245375869.0,56.2344755097958,293362996.0,48.1868833032816,315439599.0,51.8131166967184,608802595.0,481008842.0,79.009,33.6105959520801,7700535251.99368,2324650346.59874,1027733777.72385,10.8518902537537,127793753.0,20.991
1975 [YR1975],77.1665825449187,35.2695013495212,34730864275.353,1089000000.0,24.2610088973281,11.5724521685599,1223827707.86099,12.6024938126848,8.02310184746566,14.9337333298857,14.9337333298857,5.64706215784259,5560820024.49904,-0.999853898271381,-984584094.113297,87.2222588057793,85890197379.1122,1465415.0,0.235180258,98472796457.114,6.78414597304856,158.036171003399,9.48765621556165,9342760393.70074,98178114597.9603,18.9575187533961,18667998855.351,12.7777411942207,12582599078.0017,17.7147108390358,17444171147.49,106.179777559175,104558196234.463,7.56798059934602,89887191072.3375,77.7346025902177,76547436985.4115,6.64691605611397,6545404118.61234,23.2012520766751,22846921732.9662,5.74843029767436,15.8384866598511,15596600730.4424,4355000000.0,6381000000.0,10.9025034184701,3.53459878110716,3323646800.51911,14.9337333298857,-294681859.153628,249728337.0,56.4440530919246,300231625.0,48.1833137030818,322871275.0,51.8166862969182,623102900.0,490182589.0,78.668,35.1392413946557,8585605384.7765,2064427967.54988,1089132799.80348,12.2939782139566,132920311.0,21.332
1976 [YR1976],76.9998407465221,33.4429712884776,34351671820.6672,1915000000.0,28.0306374166901,7.72169520991839,682279524.325198,12.1491425874196,7.41062245381336,17.8877016986059,17.8877016986059,6.68651286170258,6868196413.18819,0.571822650658715,587360012.530347,84.7892602418212,87093123892.0063,1613644.0,0.253068987,102717164465.894,7.18996404270484,161.092092236981,9.77975331556801,10045485297.5107,102456488498.428,19.1531791012955,19673602477.9249,15.2107397581788,15624040573.8876,18.4889478329647,18991322953.5997,103.942439343117,106766726369.931,7.59394109352956,93542576801.1993,75.0095069262532,77047638594.4956,6.11469021104386,6280836400.65784,24.4805234159193,25145699499.2415,-7.63394763392879,16.2658888325633,16707859783.9835,5549000000.0,5665000000.0,10.9173574429457,3.4778831428908,3294910612.34921,17.8877016986059,-260675967.465849,254937707.0,56.4972259535175,307224284.0,48.1822127323243,330405801.0,51.8177872676757,637630085.0,499411011.0,78.323,35.8037232153013,9174587664.69465,3728750637.4451,2791702339.02209,12.8012030727464,138219074.0,21.677
1977 [YR1977],76.6138996958549,34.9477259662017,42457056541.9936,2372000000.0,29.4811212298266,5.88549481813946,1000495092.4059,12.3566494818342,8.02625769777357,18.0417851882955,18.0417851882955,6.38317181382281,7754744525.54745,0.11824248992473,143649635.036496,85.4460385801968,103806104431.437,1726746.0,0.264672405,121487322474.298,7.59527880515657,186.213504179523,9.20977194148687,11188705337.7016,121215205685.977,19.61373131334,23828197009.8798,14.5539614198032,17681218042.8613,18.7901926329006,22827701917.4739,105.059769893537,127634301441.317,7.96137421063693,111446335241.383,76.2362666387109,92617399093.7366,6.26492932389808,7611094890.51095,24.4002625426169,29643225639.7244,8.30747009171164,16.0808689294252,19536217092.96,6378000000.0,6647000000.0,10.7212832867854,3.16277193712918,3477080944.50128,18.0417851882955,-272116788.321168,259824349.0,56.6206851576748,314349661.0,48.1829303010929,338059105.0,51.8170696989071,652408766.0,508709211.0,77.974,34.6614496121222,10040987232.9156,6085439869.41109,4872016471.72272,12.6481011377209,143699555.0,22.026
